Year : 2025-26,Unnamed: 1,Hi-Tec Laboratories Pvt. Limited,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,processed_at
State: North Bihar,,“SALES IS ONLY A BY PRODUCT OF EFFORT SPENT EVERDAY”,,,,,,,,,,,,,,2025-08-23 07:17:08.056883
HQ: Begusarai,,PRODUCT WISE / UNIT WISE / MONTH WISE / NET ACHIEVEMENT SALES TREND ANALYSIS FOR BE,,,,,,,,,,,,,,2025-08-23 07:17:08.056883
Name of BE: ,,Bittu Kumar (DOJ : 21.06.16),,,,,,,,,,,,,,2025-08-23 07:17:08.056883
SN,Product,April,May,June,July,Aug,Sept.,Oct.,Nov,Dec,Jan,Feb,March,Total,Average,2025-08-23 07:17:08.056883
,,Achv.,Achv.,Achv.,Achv.,Achv.,Achv.,Achv.,Achv.,Achv.,Achv.,Achv.,Achv.,Achv.,Achv.,2025-08-23 07:17:08.056883
1,Amize Forte,0,210,0,0,0,0,0,0,0,0,0,0,210,70,2025-08-23 07:17:08.056883
2,Amize Tab,350,175,210,0,0,0,0,0,0,0,0,0,735,245,2025-08-23 07:17:08.056883
3,Bromcough,50,200,50,0,0,0,0,0,0,0,0,0,300,100,2025-08-23 07:17:08.056883
4,C-Lysin Gold,80,50,30,0,0,0,0,0,0,0,0,0,160,53.333333333333336,2025-08-23 07:17:08.056883
5,C-Lysin Jr.,270,360,270,0,0,0,0,0,0,0,0,0,900,300,2025-08-23 07:17:08.056883
6,C-Lysin Syp,0,108,54,0,0,0,0,0,0,0,0,0,162,54,2025-08-23 07:17:08.056883
7,M-fresh,130,100,100,0,0,0,0,0,0,0,0,0,330,110,2025-08-23 07:17:08.056883
8,Ofal OZ,100,175,75,0,0,0,0,0,0,0,0,0,350,116.66666666666667,2025-08-23 07:17:08.056883
9,Ofal-1,50,75,0,0,0,0,0,0,0,0,0,0,125,41.666666666666664,2025-08-23 07:17:08.056883
10,Ofal-2,75,0,50,0,0,0,0,0,0,0,0,0,125,41.666666666666664,2025-08-23 07:17:08.056883
11,Ofal-3,0,0,25,0,0,0,0,0,0,0,0,0,25,8.333333333333334,2025-08-23 07:17:08.056883
12,Ofal-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-23 07:17:08.056883
13,Ofal-E/E Drop,200,100,200,0,0,0,0,0,0,0,0,0,500,166.66666666666666,2025-08-23 07:17:08.056883
14,Harmless,500,450,300,0,0,0,0,0,0,0,0,0,1250,416.6666666666667,2025-08-23 07:17:08.056883
15,Harmless Plus,0,200,0,0,0,0,0,0,0,0,0,0,200,66.66666666666667,2025-08-23 07:17:08.056883
16,Ofal-TZ,25,50,0,0,0,0,0,0,0,0,0,0,75,25,2025-08-23 07:17:08.056883
17,Ofal-AF Neo,320,200,260,0,0,0,0,0,0,0,0,0,780,260,2025-08-23 07:17:08.056883
18,Rabipump-D,40,40,40,0,0,0,0,0,0,0,0,0,120,40,2025-08-23 07:17:08.056883
19,Ear Clear Drops,160,160,0,0,0,0,0,0,0,0,0,0,320,106.66666666666667,2025-08-23 07:17:08.056883
20,Rozadin Plus,250,200,150,0,0,0,0,0,0,0,0,0,600,200,2025-08-23 07:17:08.056883
21,Ofal-Sus 60 ml,250,250,200,0,0,0,0,0,0,0,0,0,700,233.33333333333334,2025-08-23 07:17:08.056883
22,Ofal-AF+ Drops,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-23 07:17:08.056883
23,Zithrotec-100,250,0,125,0,0,0,0,0,0,0,0,0,375,125,2025-08-23 07:17:08.056883
24,Zithrotec-200,250,0,125,0,0,0,0,0,0,0,0,0,375,125,2025-08-23 07:17:08.056883
25,Zithrotec-250,75,50,50,0,0,0,0,0,0,0,0,0,175,58.333333333333336,2025-08-23 07:17:08.056883
26,Zithrotec-500,200,200,100,0,0,0,0,0,0,0,0,0,500,166.66666666666666,2025-08-23 07:17:08.056883
27,Amcase-625,100,50,300,0,0,0,0,0,0,0,0,0,450,150,2025-08-23 07:17:08.056883
28,Ofal-C2,120,200,200,0,0,0,0,0,0,0,0,0,520,173.33333333333334,2025-08-23 07:17:08.056883
29,C-Lysin Drops,200,150,50,0,0,0,0,0,0,0,0,0,400,133.33333333333334,2025-08-23 07:17:08.056883
30,Ofal-AF Drops,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-23 07:17:08.056883
31,Mofal Eye Drops,200,400,260,0,0,0,0,0,0,0,0,0,860,286.6666666666667,2025-08-23 07:17:08.056883
Value ==>,,212314.5,211023.61,189879.23,0,0,0,0,0,0,0,0,0,613217.34,204405.78,2025-08-23 07:17:08.056883
1,Ofal-M Sus,800,1000,600,0,0,0,0,0,0,0,0,0,2400,800,2025-08-23 07:17:08.056883
2,Ofal-M Plus,250,0,200,0,0,0,0,0,0,0,0,0,450,150,2025-08-23 07:17:08.056883
Value (Ofal-M)=>,,34632,32140,26420,0,0,0,0,0,0,0,0,0,93192,31064,2025-08-23 07:17:08.056883
Dr's Booking,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2025-08-23 07:17:08.056883
Total Rupee Value  à,,246946.5,243163.61,216299.23,0,0,0,0,0,0,0,0,0,706409.34,235469.78,2025-08-23 07:17:08.056883
